"filename", "language", "JavaScript", "Django HTML", "PHP", "CSS", "SCSS", "JSON", "vue", "Markdown", "XML", "Django txt", "YAML", "comment", "blank", "total"
"c:\laragon\www\bazrasi\public\css\lte\jquery.Bootstrap-PersianDateTimePicker.css", "CSS", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 19, 109
"c:\laragon\www\bazrasi\public\css\lte\select2.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\laragon\www\bazrasi\public\css\lte\skins\skin-blue-light.min.css", "CSS", 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 1, 174
"c:\laragon\www\bazrasi\public\docs\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\laragon\www\bazrasi\public\docs\SUMMARY.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\laragon\www\bazrasi\public\docs\dev\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3
"c:\laragon\www\bazrasi\public\docs\dev\code-guide.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3
"c:\laragon\www\bazrasi\public\docs\dev\install.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 6, 28
"c:\laragon\www\bazrasi\public\docs\dev\troubleshooting.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 9
"c:\laragon\www\bazrasi\public\docs\user\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3
"c:\laragon\www\bazrasi\public\docs\user\getting-start.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\laragon\www\bazrasi\public\docs\user\interface\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\laragon\www\bazrasi\public\docs\user\interface\advanced-settings\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\laragon\www\bazrasi\public\docs\user\interface\advanced-settings\custom-fields.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\laragon\www\bazrasi\public\docs\user\interface\advanced-settings\file-types.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\laragon\www\bazrasi\public\docs\user\interface\advanced-settings\settings.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\laragon\www\bazrasi\public\docs\user\interface\document-management.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 7, 25
"c:\laragon\www\bazrasi\public\docs\user\interface\file-uploads.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 11, 42
"c:\laragon\www\bazrasi\public\docs\user\interface\home.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\laragon\www\bazrasi\public\docs\user\interface\permissions.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\laragon\www\bazrasi\public\docs\user\interface\tags-management.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\laragon\www\bazrasi\public\docs\user\interface\user-management.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"c:\laragon\www\bazrasi\public\fonts\vendor\Ionicons\ionicons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2227, 0, 0, 3, 1, 2231
"c:\laragon\www\bazrasi\public\fonts\vendor\bootstrap\dist\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 288
"c:\laragon\www\bazrasi\public\fonts\vendor\font-awesome\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2671, 0, 0, 0, 1, 2672
"c:\laragon\www\bazrasi\public\index.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 39, 12, 61
"c:\laragon\www\bazrasi\public\js\adminlte.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 15
"c:\laragon\www\bazrasi\public\js\app.js", "JavaScript", 6994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1923, 2091, 11008
